Автономная некоммерческая организация "Институт перспективных научных исследований";Autonomous non-profit organization "Institute for Advanced Scientific Research"
Институт биологии Уфимского научного центра Российской академии наук;Institute of Biology of the Ufa Scientific Center of the Russian Academy of Sciences
Институт биологии южных морей им. А.О. Ковалевского;A.O. Kovalevsky Institute of Biology of the Southern Seas
Институт биологических проблем криолитозоны Сибирского отделения Российской академии наук;Institute of Biological Problems of Cryolithozone of the Siberian Branch of the Russian Academy of Sciences
Институт биологических проблем Севера Дальневосточного отделения Российской академии наук;Institute of Biological Problems of the North, Far Eastern Branch of the Russian Academy of Sciences
Институт биологического приборостроения с опытным производством Российской академии наук;Institute of Biological Instrumentation with Experimental Production of the Russian Academy of Sciences
Институт биоорганической химии им. академиков М.М. Шемякина и Ю.А. Овчинникова Российской академии наук;Shemyakin and Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Science
Институт биофизики клетки Российской академии наук;Institute of Cell Biophysics of the Russian Academy of Sciences
Институт биофизики Сибирского отделения Российской академии наук;Institute of Biophysics, Siberian Branch of the Russian Academy of Sciences
Институт биохимии и физиологии микроорганизмов им. Г.К. Скрябина Российской академии наук;G.K. Skryabin Institute of Biochemistry and Physiology of Microorganisms of the Russian Academy of Sciences
Институт биохимии и физиологии растений и микроорганизмов Российской академии наук;Institute of Biochemistry and Physiology of Plants and Microorganisms of the Russian Academy of Sciences
Институт биохимической физики им. Н.М. Эмануэля Российской академии наук;N.M. Emanuel Institute of Biochemical Physics, Russian Academy of Sciences
Институт водных и экологических проблем Дальневосточного отделения Российской академии наук;Institute of Water and Environmental Problems of the Far Eastern Branch of the Russian Academy of Sciences
Институт водных и экологических проблем Сибирского отделения Российской академии наук;Institute of Water and Environmental Problems of the Siberian Branch of the Russian Academy of Sciences
Институт водных проблем Российской академии наук;Institute of Water Problems of the Russian Academy of Sciences
Институт водных проблем Севера Карельского научного центра Российской академии наук;Institute of Water Problems of the North, Karelian Scientific Center of the Russian Academy of Sciences
Институт востоковедения Российской академии наук;Institute of Oriental Studies of the Russian Academy of Sciences
Институт восточных рукописей Российской академии наук;Institute of Oriental Manuscripts of the Russian Academy of Sciences
Институт всеобщей истории Российской академии наук;Institute of General History of the Russian Academy of Sciences
Институт вулканологии и сейсмологии Дальневосточного отделения Российской академии наук;Institute of Volcanology and Seismology of the Far Eastern Branch of the Russian Academy of Sciences
Институт высокомолекулярных соединений Российской академии наук;Institute of High Molecular Compounds of the Russian Academy of Sciences
Институт высокотемпературной электрохимии Уральского отделения Российской академии наук;Institute of High-Temperature Electrochemistry, Ural Branch of the Russian Academy of Sciences
Институт высшей нервной деятельности и нейрофизиологии Российской академии наук;Institute of Higher Nervous Activity and Neurophysiology of the Russian Academy of Sciences
Институт вычислительного моделирования Сибирского отделения Российской академии наук;Institute of Computational Modeling, Siberian Branch of the Russian Academy of Sciences
Институт вычислительной математики и математической геофизики Сибирского отделения Российской академии наук;Institute of Computational Mathematics and Mathematical Geophysics, Siberian Branch of the Russian Academy of Sciences
Институт вычислительной математики им. Г.И. Марчука Российской академии наук;G.I. Marchuk Institute of Computational Mathematics of the Russian Academy of Sciences
Институт географии им. В.Б. Сочавы Сибирского отделения Российской академии наук;V.B. Sochava Institute of Geography, Siberian Branch of the Russian Academy of Sciences
Институт географии Российской академии наук;Institute of Geography of the Russian Academy of Sciences
Институт геологии алмаза и благородных металлов Сибирского отделения Российской академии наук;Institute of Diamond and Noble Metal Geology, Siberian Branch of the Russian Academy of Sciences
Институт геологии Дагестанского научного центра Российской академии наук;Institute of Geology of the Dagestan Scientific Center of the Russian Academy of Sciences
Институт геологии и геохимии им. академика А.Н. Заварицкого Уральского отделения Российской академии наук;Academician A.N. Zavaritsky Institute of Geology and Geochemistry, Ural Branch of the Russian Academy of Sciences
Институт геологии и геохронологии докембрия Российской академии наук;Institute of Geology and Geochronology of Precambrian of the Russian Academy of Sciences
Институт геологии и минералогии им. В.С. Соболева Сибирского отделения Российской академии наук;V.S. Sobolev Institute of Geology and Mineralogy, Siberian Branch of the Russian Academy of Sciences
Институт геологии и природопользования Дальневосточного отделения Российской академии наук;Institute of Geology and Nature Management of the Far Eastern Branch of the Russian Academy of Sciences
Институт геологии Карельского научного центра Российской академии наук;Institute of Geology of the Karelian Scientific Center of the Russian Academy of Sciences
Институт геологии Коми научного центра Уральского отделения Российской академии наук;Institute of Geology of the Komi Scientific Center of the Ural Branch of the Russian Academy of Sciences
Институт геологии рудных месторождений, петрографии, минералогии и геохимии Российской академии наук;Institute of Geology of Ore Deposits, Petrography, Mineralogy and Geochemistry of the Russian Academy of Sciences
Институт геологии Уфимского научного центра Российской академии наук;Institute of Geology of the Ufa Scientific Center of the Russian Academy of Sciences
Институт геофизики им. Ю.П. Булашевича Уральского отделения Российской академии наук;Bulashevich Institute of Geophysics of the Ural Branch of the Russian Academy of Sciences
Институт геохимии им. А.П. Виноградова Сибирского отделения Российской академии наук;A.P. Vinogradov Institute of Geochemistry, Siberian Branch of the Russian Academy of Sciences
Институт геоэкологии им. Е.М. Сергеева Российской академии наук;E.M. Sergeev Institute of Geoecology of the Russian Academy of Sciences
Институт гидродинамики им. М.А. Лаврентьева Сибирского отделения Российской академии наук;M.A. Lavrentiev Institute of Hydrodynamics, Siberian Branch of the Russian Academy of Sciences
Институт горного дела Дальневосточного отделения Российской академии наук;Institute of Mining Engineering of the Far Eastern Branch of the Russian Academy of Sciences
Институт горного дела им. Н.А. Чинакала Сибирского отделения Российской академии наук;N.A. Chinakala Institute of Mining Engineering, Siberian Branch of the Russian Academy of Sciences
Институт горного дела Севера им. Н.В. Черского Сибирского отделения Российской академии наук;N.V. Chersky Institute of Mining of the North, Siberian Branch of the Russian Academy of Sciences
Институт горного дела Уральского отделения Российской академии наук;Institute of Mining Engineering of the Ural Branch of the Russian Academy of Sciences
Институт государства и права Российской академии наук;Institute of State and Law of the Russian Academy of Sciences
Институт гуманитарных исследований и проблем малочисленных народов Севера Сибирского отделения Российской академии наук;Institute for Humanitarian Research and Problems of Minorities of the North, Siberian Branch of the Russian Academy of Sciences
Институт гуманитарных исследований Кабардино-Балкарского научного центра Российской академии наук;Institute of Humanitarian Research of the Kabardino-Balkarian Scientific Center of the Russian Academy of Sciences
Институт динамики геосфер Российской академии наук;Institute of Dynamics of Geospheres of the Russian Academy of Sciences
Институт динамики систем и теории управления им. В.М. Матросова Сибирского отделения Российской академии наук;V.M. Matrosov Institute of Dynamics of Systems and Control Theory, Siberian Branch of the Russian Academy of Sciences
Институт Европы Российской академии наук;Institute of Europe of the Russian Academy of Sciences
Институт земного магнетизма, ионосферы и распространения радиоволн им. Н.В. Пушкова Российской академии наук;N.V. Pushkov Institute of Terrestrial Magnetism, Ionosphere and Radio Wave Propagation, Russian Academy of Sciences
Институт земной коры Сибирского отделения Российской академии наук;Institute of Earth Crust of the Siberian Branch of the Russian Academy of Sciences
Институт информатики и математического моделирования технологических процессов Кольского научного центра Российской академии наук;Institute of Informatics and Mathematical Modeling of Technological Processes, Kola Scientific Center of the Russian Academy of Sciences
Институт информатики и проблем регионального управления Кабардино-Балкарского научного центра Российской академии наук;Institute of Informatics and Regional Management Problems of the Kabardino-Balkarian Scientific Center of the Russian Academy of Sciences
Институт истории естествознания и техники им. С.И. Вавилова Российской академии наук;S.I. Vavilov Institute of the History of Natural History and Technology of the Russian Academy of Sciences
Институт истории и археологии Уральского отделения Российской академии наук;Institute of History and Archaeology of the Ural Branch of the Russian Academy of Sciences
Институт истории материальной культуры Российской академии наук;Institute of History of Material Culture of the Russian Academy of Sciences
Институт истории Сибирского отделения Российской академии наук;Institute of History of the Siberian Branch of the Russian Academy of Sciences
Институт истории, археологии и этнографии Дагестанского научного центра Российской академии наук;Institute of History, Archaeology and Ethnography of the Dagestan Scientific Center of the Russian Academy of Sciences
Институт истории, археологии и этнографии народов Дальнего Востока Дальневосточного отделения Российской академии наук;Institute of History, Archaeology and Ethnography of the Peoples of the Far East of the Far Eastern Branch of the Russian Academy of Sciences
Институт истории, языка и литературы Уфимского научного центра Российской академии наук;Institute of History, Language and Literature of the Ufa Scientific Center of the Russian Academy of Sciences
Институт катализа им. Г.К. Борескова Сибирского отделения Российской академии наук;G.K. Boreskov Institute of Catalysis, Siberian Branch of the Russian Academy of Sciences
Институт клеточного и внутриклеточного симбиоза Уральского отделения Российской академии наук;Institute of Cellular and Intracellular Symbiosis, Ural Branch of the Russian Academy of Sciences
Институт комплексного анализа региональных проблем Дальневосточного отделения Российской академии наук;Institute of Complex Analysis of Regional Problems of the Far Eastern Branch of the Russian Academy of Sciences
Институт конструкторско-технологической информатики Российской академии наук;Institute of Design and Technology Informatics of the Russian Academy of Sciences
Институт космических исследований Российской академии наук;Space Research Institute of the Russian Academy of Sciences
Институт космофизических исследований и аэрономии им. Ю.Г. Шафера Сибирского отделения Российской академии наук;Y.G. Shafer Institute of Cosmophysical Research and Aeronomy of the Siberian Branch of the Russian Academy of Sciences
Институт космофизических исследований и распространения радиоволн Дальневосточного отделения Российской академии наук;Institute of Cosmophysical Research and Radio Wave Propagation of the Far Eastern Branch of the Russian Academy of Sciences
Институт криосферы Земли Сибирского отделения Российской академии наук;Earth Cryosphere Institute of the Siberian Branch of the Russian Academy of Sciences
Институт лазерной физики Сибирского отделения Российской академии наук;Institute of Laser Physics of the Siberian Branch of the Russian Academy of Sciences
Институт Латинской Америки Российской академии наук;Institute of Latin America of the Russian Academy of Sciences
Институт леса им. В.Н. Сукачева Сибирского отделения Российской академии наук;V.N. Sukachev Forest Institute of the Siberian Branch of the Russian Academy of Sciences
Институт леса Карельского научного центра Российской академии наук;Forest Institute of the Karelian Research Center of the Russian Academy of Sciences
Институт лесоведения Российской академии наук;Institute of Forestry Science of the Russian Academy of Sciences
Институт лингвистических исследований Российской академии наук;Institute of Linguistic Studies of the Russian Academy of Sciences
Институт математики и механики им. Н.Н. Красовского Уральского отделения Российской академии наук;N.N. Krasovsky Institute of Mathematics and Mechanics, Ural Branch of the Russian Academy of Sciences
Институт математики им. С.Л. Соболева Сибирского отделения Российской академии наук;S.L. Sobolev Institute of Mathematics, Siberian Branch of the Russian Academy of Sciences
Институт математики с вычислительным центром Уфимского научного центра Российской академии наук;Institute of Mathematics with Computing Center of the Ufa Scientific Center of the Russian Academy of Sciences
Институт математических проблем биологии Российской академии наук;Institute of Mathematical Problems of Biology, Russian Academy of Sciences
Институт материаловедения Хабаровского научного центра Дальневосточного отделения Российской академии наук;Institute of Materials Science of Khabarovsk Scientific Center of the Far Eastern Branch of the Russian Academy of Sciences
Институт машиноведения и металлургии Дальневосточного отделения Российской академии наук;Institute of Mechanical Engineering and Metallurgy of the Far Eastern Branch of the Russian Academy of Sciences
Институт машиноведения им. А.А. Благонравова Российской академии наук;A.A. Blagonravov Institute of Mechanical Engineering of the Russian Academy of Sciences
Институт машиноведения Уральского отделения Российской академии наук;Institute of Mechanical Engineering of the Ural Branch of the Russian Academy of Sciences
Институт мерзлотоведения им. П.И. Мельникова Сибирского отделения Российской академии наук;P.I. Melnikov Institute of Permafrost Science, Siberian Branch of the Russian Academy of Sciences
Институт металлоорганической химии им. Г.А. Разуваева Российской академии наук;G.A. Razuvaev Institute of Organometallic Chemistry, Russian Academy of Sciences
Институт металлургии и материаловедения им. А.А. Байкова Российской академии наук;A.A. Baikov Institute of Metallurgy and Materials Science of the Russian Academy of Sciences
Институт металлургии Уральского отделения Российской академии наук;Institute of Metallurgy of the Ural Branch of the Russian Academy of Sciences
Институт механики и машиностроения Казанского научного центра Российской академии наук;Institute of Mechanics and Mechanical Engineering of the Kazan Scientific Center of the Russian Academy of Sciences
Институт механики им. Р.Р. Мавлютова Уфимского научного центра Российской академии наук;R.R. Mavlyutov Institute of Mechanics of the Ufa Scientific Center of the Russian Academy of Sciences
Институт механики сплошных сред Уральского отделения Российской академии наук;Institute of Continuum Mechanics of the Ural Branch of the Russian Academy of Sciences
Институт механики Уральского отделения Российской академии наук;Institute of Mechanics of the Ural Branch of the Russian Academy of Sciences
Институт микробиологии им. С.Н. Виноградского Российской академии наук;S.N. Vinogradsky Institute of Microbiology, Russian Academy of Sciences
Институт минералогии Уральского отделения Российской академии наук;Institute of Mineralogy of the Ural Branch of the Russian Academy of Sciences
Институт мировой литературы им. А.М. Горького Российской академии наук;A.M. Gorky Institute of World Literature of the Russian Academy of Sciences
Институт мировой экономики и международных отношений им. Е.М. Примакова Российской академии наук;E.M. Primakov Institute of World Economy and International Relations of the Russian Academy of Sciences
Институт мозга человека им. Н.П. Бехтеревой Российской академии наук;N.P. Bekhtereva Human Brain Institute of the Russian Academy of Sciences
Институт молекулярной биологии им. В.А. Энгельгардта Российской академии наук;V.A. Engelhardt Institute of Molecular Biology, Russian Academy of Sciences
Институт молекулярной генетики Российской академии наук;Institute of Molecular Genetics of the Russian Academy of Sciences
Институт молекулярной и клеточной биологии Сибирского отделения Российской академии наук;Institute of Molecular and Cell Biology of the Siberian Branch of the Russian Academy of Sciences
Институт монголоведения, буддологии и тибетологии Сибирского отделения Российской академии наук;Institute of Mongolology, Buddhology and Tibetology of the Siberian Branch of the Russian Academy of Sciences
Институт мониторинга климатических и экологических систем Сибирского отделения Российской академии наук;Institute for Monitoring of Climatic and Ecological Systems of the Siberian Branch of the Russian Academy of Sciences
Институт морской геологии и геофизики Дальневосточного отделения Российской академии наук;Institute of Marine Geology and Geophysics of the Far Eastern Branch of the Russian Academy of Sciences
Институт народнохозяйственного прогнозирования Российской академии наук;Institute of National Economic Forecasting of the Russian Academy of Sciences
Институт научной информации по общественным наукам Российской академии наук;Institute of Scientific Information on Social Sciences of the Russian Academy of Sciences
Институт неорганической химии им. А.В. Николаева Сибирского отделения Российской академии наук;A.V. Nikolaev Institute of Inorganic Chemistry, Siberian Branch of the Russian Academy of Sciences
Институт нефтегазовой геологии и геофизики им. А.А. Трофимука Сибирского отделения Российской академии наук;A.A. Trofimuk Institute of Petroleum Geology and Geophysics, Siberian Branch of the Russian Academy of Sciences
Институт нефтехимии и катализа – обособленное структурное подразделение Федерального государственного бюджетного научного учреждения Уфимского федерального исследовательского центра Российской академии наук;Institute of Petrochemistry and Catalysis - separate structural subdivision of the Federal State Budgetary Scientific Institution Ufa Federal Research Center of the Russian Academy of Sciences
Институт нового индустриального развития им. С.Ю. Витте;Witte Institute for New Industrial Development. S.Y. Witte
Институт общей генетики им. Н.И. Вавилова Российской академии наук;N.I. Vavilov Institute of General Genetics, Russian Academy of Sciences
Институт общей и неорганической химии им. Н.С. Курнакова Российской академии наук;N.S. Kurnakov Institute of General and Inorganic Chemistry of the Russian Academy of Sciences
Институт общей и экспериментальной биологии Сибирского отделения Российской академии наук;Institute of General and Experimental Biology of the Siberian Branch of the Russian Academy of Sciences
Институт общей физики имени А.М. Прохорова Российской академии наук;A.M. Prokhorov Institute of General Physics of the Russian Academy of Sciences
Институт озероведения Российской академии наук;Institute of Lake Science of the Russian Academy of Sciences
Институт океанологии им. П.П. Ширшова Российской академии наук;P.P. Shirshov Institute of Oceanology of the Russian Academy of Sciences
Институт оптики атмосферы им. В.Е. Зуева Сибирского отделения Российской академии наук;V.E. Zuev Institute of Atmospheric Optics, Siberian Branch of the Russian Academy of Sciences
Институт органического синтеза им. И.Я. Постовского Уральского отделения Российской академии наук;I.Y. Postovsky Institute of Organic Synthesis, Ural Branch of the Russian Academy of Sciences
Институт органической и физической химии им. А.Е. Арбузова ФИЦ "Казанский научный центр РАН";A.E. Arbuzov Institute of Organic and Physical Chemistry FIC Kazan Scientific Center RAS
Институт органической химии им. Н.Д. Зелинского Российской академии наук;N.D. Zelinsky Institute of Organic Chemistry of the Russian Academy of Sciences
Институт почвоведения и агрохимии Сибирского отделения Российской академии наук;Institute of Soil Science and Agrochemistry, Siberian Branch of the Russian Academy of Sciences
Институт прикладной астрономии Российской академии наук;Institute of Applied Astronomy of the Russian Academy of Sciences
Институт прикладной математики им. М. В. Келдыша Российской академии наук;M. V. Keldysh Institute of Applied Mathematics of the Russian Academy of Sciences
Институт прикладной механики Российской академии наук;Institute of Applied Mechanics of the Russian Academy of Sciences
Институт прикладных математических исследований Карельского научного центра Российской академии наук;Institute of Applied Mathematical Research of the Karelian Scientific Center of the Russian Academy of Sciences
Институт природных ресурсов, экологии и криологии Сибирского отделения Российской академии наук;Institute of Natural Resources, Ecology and Cryology, Siberian Branch of the Russian Academy of Sciences
Институт проблем безопасного развития атомной энергетики Российской академии наук;Institute for Problems of Safe Development of Nuclear Power Engineering of the Russian Academy of Sciences
Институт проблем геотермии Дагестанского научного центра Российской академии наук;Institute of Geothermal Problems of the Dagestan Scientific Center of the Russian Academy of Sciences
Институт проблем комплексного освоения недр Российской академии наук;Institute of Problems of Integrated Subsoil Development of the Russian Academy of Sciences
Институт проблем лазерных и информационных технологий Российской академии наук;Institute for Problems of Laser and Information Technologies of the Russian Academy of Sciences
Институт проблем машиноведения Российской академии наук;Institute for Problems of Mechanical Engineering of the Russian Academy of Sciences
Институт проблем машиностроения Российской академии наук;Institute of Mechanical Engineering Problems of the Russian Academy of Sciences
Институт проблем механики им. А.Ю. Ишлинского Российской академии наук;Institute for Problems of Mechanics named after A.Yu. Ishlinsky of the Russian Academy of Sciences
Институт проблем морских технологий Дальневосточного отделения Российской академии наук;Institute of Marine Technology Problems of the Far Eastern Branch of the Russian Academy of Sciences
Институт проблем нефти и газа Российской академии наук;Institute of Oil and Gas Problems of the Russian Academy of Sciences
Институт проблем нефти и газа Сибирского отделения Российской академии наук;Institute of Oil and Gas Problems of the Siberian Branch of the Russian Academy of Sciences
Институт проблем освоения Севера Сибирского отделения Российской академии наук;Institute for Problems of Northern Development of the Siberian Branch of the Russian Academy of Sciences
Институт проблем передачи информации им. А.А. Харкевича Российской академии наук;A.A. Kharkevich Institute of Information Transmission Problems of the Russian Academy of Sciences
Институт проблем переработки углеводородов Сибирского отделения Российской академии наук;Institute of Hydrocarbon Processing Problems of the Siberian Branch of the Russian Academy of Sciences
Институт проблем проектирования в микроэлектронике Российской академии наук;Institute of Design Problems in Microelectronics of the Russian Academy of Sciences
Институт проблем промышленной экологии Севера Кольского научного центра Российской академии наук;Institute of Industrial Ecology Problems of the North, Kola Scientific Center of the Russian Academy of Sciences
Институт проблем региональной экономики Российской академии наук;Institute of Regional Economy Problems of the Russian Academy of Sciences
Институт проблем рынка Российской академии наук;Institute of Market Problems of the Russian Academy of Sciences
Институт проблем сверхпластичности металлов Российской академии наук;Institute of Metals Superplasticity Problems of the Russian Academy of Sciences
Институт проблем технологии микроэлектроники и особочистых материалов Российской академии наук;Institute for Problems of Microelectronics Technology and High-Purity Materials of the Russian Academy of Sciences
Институт проблем точной механики и управления Российской академии наук;Institute for Problems of Precision Mechanics and Control of the Russian Academy of Sciences
Институт проблем транспорта им. Н.С. Соломенко Российской;N.S. Solomenko Institute of Transportation Problems of the Russian Federation
Институт проблем управления им. В.А. Трапезникова Российской академии наук;V.A. Trapeznikov Institute of Control Problems of the Russian Academy of Sciences.
Институт проблем управления сложными системами Российской академии наук;Institute of Complex Systems Management Problems of the Russian Academy of Sciences
Институт проблем химико-энергетических технологий Сибирского отделения Российской академии наук;Institute for Problems of Chemical and Energy Technologies of the Siberian Branch of the Russian Academy of Sciences
Институт проблем экологии и эволюции им. А.Н. Северцова Российской академии наук;A.N. Severtsov Institute for Problems of Ecology and Evolution, Russian Academy of Sciences.
Институт программных систем им. А.К. Айламазяна Российской академии наук;A.K. Ailamazyan Institute of Software Systems of the Russian Academy of Sciences
Институт промышленной экологии Уральского отделения Российской академии наук;Institute of Industrial Ecology of the Ural Branch of the Russian Academy of Sciences
Институт психологии Российской академии наук;Institute of Psychology of the Russian Academy of Sciences
Институт радиотехники и электроники имени В.А. Котельникова Российской академии наук;V.A. Kotelnikov Institute of Radio Engineering and Electronics of the Russian Academy of Sciences
Институт российской истории Российской академии наук;Institute of Russian History of the Russian Academy of Sciences
Институт русского языка им. В.В. Виноградова Российской академии наук;V.V. Vinogradov Institute of Russian Language, Russian Academy of Sciences
Институт русской литературы (Пушкинский Дом) Российской академии наук;Institute of Russian Literature (Pushkin House) of the Russian Academy of Sciences
Институт сверхвысокочастотной полупроводниковой электроники Российской академии наук;Institute of ultra-high frequency semiconductor electronics of the Russian Academy of Sciences
Институт сильноточной электроники Сибирского отделения Российской академии наук;Institute of High Current Electronics of the Siberian Branch of the Russian Academy of Sciences
Институт синтетических полимерных материалов им. Н.С. Ениколопова Российской академии наук;N.S. Enikolopov Institute of Synthetic Polymeric Materials, Russian Academy of Sciences
Институт систем информатики им. А.П. Ершова Сибирского отделения Российской академии наук;A.P. Ershov Institute of Informatics Systems of the Siberian Branch of the Russian Academy of Sciences
Институт систем обработки изображений РАН - Филиал Федерального государственного учреждения "Федеральный научно-исследовательский центр "Кристаллография и фотоника" Российской академии наук";Institute of Image Processing Systems of the Russian Academy of Sciences - Branch of the Federal State Institution "Federal Research Center "Crystallography and Photonics" of the Russian Academy of Sciences".
Институт систем энергетики им. Л.А. Мелентьева Сибирского отделения Российской академии наук;Institute of Power Systems named after L.A. Melentiev of the Siberian Branch of the Russian Academy of Sciences
Институт систематики и экологии животных Сибирского отделения Российской академии наук;Institute of Animal Systematics and Ecology of the Siberian Branch of the Russian Academy of Sciences
Институт системного программирования Российской академии наук;Institute of System Programming of the Russian Academy of Sciences
Институт славяноведения Российской академии наук;Institute of Slavic Studies of the Russian Academy of Sciences
Институт Соединенных Штатов Америки и Канады Российской академии наук;Institute of the United States of America and Canada of the Russian Academy of Sciences
Институт солнечно-земной физики Сибирского отделения Российской академии наук;Institute of Solar-Terrestrial Physics, Siberian Branch of the Russian Academy of Sciences
Институт социально-экономических и гуманитарных исследований Южного научного центра Российской академии наук;Institute of Socio-Economic and Humanitarian Research of the Southern Scientific Center of the Russian Academy of Sciences
Институт социально-экономических и энергетических проблем Севера Коми научного центра Уральского отделения Российской академии наук;Institute of Socio-Economic and Energy Problems of the North Komi Scientific Center of the Ural Branch of the Russian Academy of Sciences
Институт социально-экономических исследований Дагестанского научного центра Российской академии наук;Institute of Socio-Economic Research of the Dagestan Scientific Center of the Russian Academy of Sciences
Институт социально-экономических исследований Уфимского научного центра Российской академии наук;Institute of Socio-Economic Research of the Ufa Scientific Center of the Russian Academy of Sciences
Институт социально-экономического развития территорий Российской академии наук;Institute of Socio-Economic Development of Territories of the Russian Academy of Sciences
Институт спектроскопии Российской академии наук;Institute of Spectroscopy of the Russian Academy of Sciences
Институт степи Уральского отделения Российской академии наук;Institute of Steppe of the Ural Branch of the Russian Academy of Sciences
Институт структурной макрокинетики и проблем материаловедения им. А.Г. Мержанова Российской академии наук;A.G. Merzhanov Institute of Structural Macrokinetics and Problems of Materials Science, Russian Academy of Sciences
Институт тектоники и геофизики им. Ю.А. Косыгина Дальневосточного отделения Российской академии наук;Y.A. Kosygin Institute of Tectonics and Geophysics, Far Eastern Branch of the Russian Academy of Sciences
Институт теоретической и прикладной механики им. С.А. Христиановича Сибирского отделения Российской академии наук;S.A. Khristianovich Institute of Theoretical and Applied Mechanics, Siberian Branch of the Russian Academy of Sciences
Институт теоретической и прикладной электродинамики Российской академии наук;Institute of Theoretical and Applied Electrodynamics of the Russian Academy of Sciences
Институт теоретической и экспериментальной биофизики Российской академии наук;Institute of Theoretical and Experimental Biophysics of the Russian Academy of Sciences
Институт теоретической физики им. Л.Д. Ландау Российской академии наук;L.D. Landau Institute of Theoretical Physics of the Russian Academy of Sciences
Институт теории прогноза землетрясений и математической геофизики Российской академии наук;Institute of Earthquake Prediction Theory and Mathematical Geophysics, Russian Academy of Sciences
Институт теплофизики им. С.С. Кутателадзе Сибирского отделения Российской академии наук;S.S. Kutateladze Institute of Thermophysics, Siberian Branch of the Russian Academy of Sciences
Институт теплофизики Уральского отделения Российской академии наук;Institute of Thermophysics of the Ural Branch of the Russian Academy of Sciences
Институт технической химии Уральского отделения Российской академии наук;Institute of Technical Chemistry of the Ural Branch of the Russian Academy of Sciences
